network,network_bandwidth_mbps_upload,network_bandwidth_mbps_download,network_base_latency_ms,image_config,image_resolution,image_size_bytes,image_size_mb,effective_size_bytes,transfer_time_ms,total_latency_ms,max_frequency_sync_hz,max_frequency_async_hz
4G LTE,18.75,75.0,25.0,224x224 uint8,224,150528,0.1435546875,158054.4,67.436544,92.436544,10.818232235077936,14.828755162779398
4G LTE,18.75,75.0,25.0,384x384 uint8,384,442368,0.421875,464486.4,198.180864,223.180864,4.480670887625921,5.045895854001323
4G LTE,18.75,75.0,25.0,512x512 uint8,512,786432,0.75,825753.6000000001,352.32153600000004,377.32153600000004,2.650259538856536,2.8383164178757436
4G LTE,18.75,75.0,25.0,1024x1024 uint8,1024,3145728,3.0,3303014.4000000004,1409.2861440000001,1434.2861440000001,0.6972109464929753,0.7095791044689359
4G LTE,18.75,75.0,25.0,224x224 uint8 (comp 0.1x),224,15052,0.014354705810546875,15804.6,6.743296,31.743296,31.502714777948704,148.29543297520976
4G LTE,18.75,75.0,25.0,384x384 uint8 (comp 0.1x),384,44236,0.042186737060546875,46447.8,19.817728000000002,44.817728,22.312599157190654,50.459871081084565
4G LTE,18.75,75.0,25.0,512x512 uint8 (comp 0.1x),512,78643,0.07499980926513672,82575.15000000001,35.232064,60.232064,16.60245280653175,28.383236361060195
4G LTE,18.75,75.0,25.0,1024x1024 uint8 (comp 0.1x),1024,314572,0.2999992370605469,330300.60000000003,140.928256,165.928256,6.026701082183374,7.095809090265049
5G NR SA (sub-6GHz),80.0,500.0,10.0,224x224 uint8,224,150528,0.1435546875,158054.4,15.805439999999999,25.805439999999997,38.751519059547135,63.2693553611921
5G NR SA (sub-6GHz),80.0,500.0,10.0,384x384 uint8,384,442368,0.421875,464486.4,46.448640000000005,56.448640000000005,17.715218648314643,21.529155643738974
5G NR SA (sub-6GHz),80.0,500.0,10.0,512x512 uint8,512,786432,0.75,825753.6000000001,82.57536,92.57536,10.80201038375654,12.110150049603174
5G NR SA (sub-6GHz),80.0,500.0,10.0,1024x1024 uint8,1024,3145728,3.0,3303014.4000000004,330.30144,340.30144,2.9385711679621456,3.0275375124007935
5G NR SA (sub-6GHz),80.0,500.0,10.0,224x224 uint8 (comp 0.1x),224,15052,0.014354705810546875,15804.6,1.58046,11.58046,86.35235560590857,632.7271806942283
5G NR SA (sub-6GHz),80.0,500.0,10.0,384x384 uint8 (comp 0.1x),384,44236,0.042186737060546875,46447.8,4.64478,14.64478,68.2837161090846,215.29544994596085
5G NR SA (sub-6GHz),80.0,500.0,10.0,512x512 uint8 (comp 0.1x),512,78643,0.07499980926513672,82575.15000000001,8.257515000000001,18.257515,54.77196650256072,121.10180847385682
5G NR SA (sub-6GHz),80.0,500.0,10.0,1024x1024 uint8 (comp 0.1x),1024,314572,0.2999992370605469,330300.60000000003,33.030060000000006,43.030060000000006,23.239567874179116,30.275452118464205
WiFi 5 (802.11ac),350.0,500.0,4.0,224x224 uint8,224,150528,0.1435546875,158054.4,3.612672,7.612672,131.35992198271515,276.8034297052154
WiFi 5 (802.11ac),350.0,500.0,4.0,384x384 uint8,384,442368,0.421875,464486.4,10.616832,14.616832,68.41427745765976,94.19005594135803
WiFi 5 (802.11ac),350.0,500.0,4.0,512x512 uint8,512,786432,0.75,825753.6000000001,18.874368,22.874368,43.71705482748201,52.981906467013886
WiFi 5 (802.11ac),350.0,500.0,4.0,1024x1024 uint8,1024,3145728,3.0,3303014.4000000004,75.497472,79.497472,12.579016349098497,13.245476616753471
WiFi 5 (802.11ac),350.0,500.0,4.0,224x224 uint8 (comp 0.1x),224,15052,0.014354705810546875,15804.6,0.361248,4.361248,229.2921659121426,2768.1814155372485
WiFi 5 (802.11ac),350.0,500.0,4.0,384x384 uint8 (comp 0.1x),384,44236,0.042186737060546875,46447.8,1.0616640000000002,5.061664,197.56348900282595,941.9175935135786
WiFi 5 (802.11ac),350.0,500.0,4.0,512x512 uint8 (comp 0.1x),512,78643,0.07499980926513672,82575.15000000001,1.8874320000000002,5.887432,169.85334183052984,529.8204120731236
WiFi 5 (802.11ac),350.0,500.0,4.0,1024x1024 uint8 (comp 0.1x),1024,314572,0.2999992370605469,330300.60000000003,7.549728000000001,11.549728000000002,86.58212557040304,132.4551030182809
WiFi 6 (802.11ax),560.0,800.0,3.5,224x224 uint8,224,150528,0.1435546875,158054.4,2.25792,5.75792,173.67382665962708,442.8854875283447
WiFi 6 (802.11ax),560.0,800.0,3.5,384x384 uint8,384,442368,0.421875,464486.4,6.6355200000000005,10.13552,98.66292010671381,150.70408950617283
WiFi 6 (802.11ax),560.0,800.0,3.5,512x512 uint8,512,786432,0.75,825753.6000000001,11.79648,15.29648,65.37451753606058,84.77105034722221
WiFi 6 (802.11ax),560.0,800.0,3.5,1024x1024 uint8,1024,3145728,3.0,3303014.4000000004,47.18592,50.68592,19.72934495418057,21.192762586805554
WiFi 6 (802.11ax),560.0,800.0,3.5,224x224 uint8 (comp 0.1x),224,15052,0.014354705810546875,15804.6,0.22578,3.72578,268.4001739233127,4429.0902648595975
WiFi 6 (802.11ax),560.0,800.0,3.5,384x384 uint8 (comp 0.1x),384,44236,0.042186737060546875,46447.8,0.66354,4.16354,240.18023124552664,1507.0681496217258
WiFi 6 (802.11ax),560.0,800.0,3.5,512x512 uint8 (comp 0.1x),512,78643,0.07499980926513672,82575.15000000001,1.179645,4.679645,213.69142317419377,847.7126593169978
WiFi 6 (802.11ax),560.0,800.0,3.5,1024x1024 uint8 (comp 0.1x),1024,314572,0.2999992370605469,330300.60000000003,4.71858,8.21858,121.67552058871485,211.92816482924945
WiFi 6E (802.11ax 6GHz),1050.0,1500.0,3.0,224x224 uint8,224,150528,0.1435546875,158054.4,1.204224,4.204224,237.85602289506934,830.4102891156463
WiFi 6E (802.11ax 6GHz),1050.0,1500.0,3.0,384x384 uint8,384,442368,0.421875,464486.4,3.5389440000000003,6.538944000000001,152.9298920437306,282.5701678240741
WiFi 6E (802.11ax 6GHz),1050.0,1500.0,3.0,512x512 uint8,512,786432,0.75,825753.6000000001,6.291456000000001,9.291456,107.62575854634623,158.94571940104163
WiFi 6E (802.11ax 6GHz),1050.0,1500.0,3.0,1024x1024 uint8,1024,3145728,3.0,3303014.4000000004,25.165824000000004,28.165824000000004,35.50402075934295,39.73642985026041
WiFi 6E (802.11ax 6GHz),1050.0,1500.0,3.0,224x224 uint8 (comp 0.1x),224,15052,0.014354705810546875,15804.6,0.12041600000000001,3.120416,320.47009116733153,8304.544246611746
WiFi 6E (802.11ax 6GHz),1050.0,1500.0,3.0,384x384 uint8 (comp 0.1x),384,44236,0.042186737060546875,46447.8,0.35388800000000004,3.353888,298.16141743552555,2825.752780540736
WiFi 6E (802.11ax 6GHz),1050.0,1500.0,3.0,512x512 uint8 (comp 0.1x),512,78643,0.07499980926513672,82575.15000000001,0.629144,3.629144,275.54707115507125,1589.461236219371
WiFi 6E (802.11ax 6GHz),1050.0,1500.0,3.0,1024x1024 uint8 (comp 0.1x),1024,314572,0.2999992370605469,330300.60000000003,2.516576,5.516576000000001,181.27186138648318,397.3653090548427
WiFi 7 (802.11be),2100.0,3000.0,2.5,224x224 uint8,224,150528,0.1435546875,158054.4,0.602112,3.102112,322.3610237154558,1660.8205782312925
WiFi 7 (802.11be),2100.0,3000.0,2.5,384x384 uint8,384,442368,0.421875,464486.4,1.7694720000000002,4.269472,234.22099969270204,565.1403356481482
WiFi 7 (802.11be),2100.0,3000.0,2.5,512x512 uint8,512,786432,0.75,825753.6000000001,3.1457280000000005,5.645728,177.12507580953243,317.89143880208326
WiFi 7 (802.11be),2100.0,3000.0,2.5,1024x1024 uint8,1024,3145728,3.0,3303014.4000000004,12.582912000000002,15.082912000000002,66.30019455129089,79.47285970052081
WiFi 7 (802.11be),2100.0,3000.0,2.5,224x224 uint8 (comp 0.1x),224,15052,0.014354705810546875,15804.6,0.060208000000000005,2.560208,390.5932642972759,16609.08849322349
WiFi 7 (802.11be),2100.0,3000.0,2.5,384x384 uint8 (comp 0.1x),384,44236,0.042186737060546875,46447.8,0.17694400000000002,2.676944,373.56029860916027,5651.505561081472
WiFi 7 (802.11be),2100.0,3000.0,2.5,512x512 uint8 (comp 0.1x),512,78643,0.07499980926513672,82575.15000000001,0.314572,2.814572,355.2938066604798,3178.922472438742
WiFi 7 (802.11be),2100.0,3000.0,2.5,1024x1024 uint8 (comp 0.1x),1024,314572,0.2999992370605469,330300.60000000003,1.258288,3.7582880000000003,266.07859748906947,794.7306181096855
DC 1GbE,1000.0,1000.0,0.1,224x224 uint8,224,150528,0.1435546875,158054.4,1.2644351999999999,1.3644352,732.9039884048726,790.8669420149013
DC 1GbE,1000.0,1000.0,0.1,384x384 uint8,384,442368,0.421875,464486.4,3.7158912,3.8158912000000003,262.06197912561026,269.1144455467372
DC 1GbE,1000.0,1000.0,0.1,512x512 uint8,512,786432,0.75,825753.6000000001,6.606028800000001,6.7060288,149.1195504558525,151.37687562003967
DC 1GbE,1000.0,1000.0,0.1,1024x1024 uint8,1024,3145728,3.0,3303014.4000000004,26.424115200000003,26.524115200000004,37.701540370326846,37.84421890500992
DC 1GbE,1000.0,1000.0,0.1,224x224 uint8 (comp 0.1x),224,15052,0.014354705810546875,15804.6,0.12643680000000002,0.22643680000000002,4416.243296142676,7909.089758677852
DC 1GbE,1000.0,1000.0,0.1,384x384 uint8 (comp 0.1x),384,44236,0.042186737060546875,46447.8,0.37158240000000003,0.47158240000000007,2120.5201890486155,2691.1931243245103
DC 1GbE,1000.0,1000.0,0.1,512x512 uint8 (comp 0.1x),512,78643,0.07499980926513672,82575.15000000001,0.6606012000000001,0.7606012000000001,1314.7494376816653,1513.7726059232102
DC 1GbE,1000.0,1000.0,0.1,1024x1024 uint8 (comp 0.1x),1024,314572,0.2999992370605469,330300.60000000003,2.6424048000000004,2.7424048000000005,364.6434691187821,378.44315148080256
DC 10GbE,10000.0,10000.0,0.05,224x224 uint8,224,150528,0.1435546875,158054.4,0.12644352,0.17644352000000002,5667.535991120558,7908.669420149012
DC 10GbE,10000.0,10000.0,0.05,384x384 uint8,384,442368,0.421875,464486.4,0.37158912,0.42158912,2371.97772086718,2691.144455467372
DC 10GbE,10000.0,10000.0,0.05,512x512 uint8,512,786432,0.75,825753.6000000001,0.6606028800000001,0.7106028800000002,1407.2557656957424,1513.7687562003966
DC 10GbE,10000.0,10000.0,0.05,1024x1024 uint8,1024,3145728,3.0,3303014.4000000004,2.6424115200000005,2.6924115200000003,371.4142479972749,378.44218905009916
DC 10GbE,10000.0,10000.0,0.05,224x224 uint8 (comp 0.1x),224,15052,0.014354705810546875,15804.6,0.012643680000000001,0.06264368000000001,15963.30228364617,79090.89758677853
DC 10GbE,10000.0,10000.0,0.05,384x384 uint8 (comp 0.1x),384,44236,0.042186737060546875,46447.8,0.03715824,0.08715824,11473.384501568642,26911.931243245104
DC 10GbE,10000.0,10000.0,0.05,512x512 uint8 (comp 0.1x),512,78643,0.07499980926513672,82575.15000000001,0.06606012000000001,0.11606012000000002,8616.22407421257,15137.726059232102
DC 10GbE,10000.0,10000.0,0.05,1024x1024 uint8 (comp 0.1x),1024,314572,0.2999992370605469,330300.60000000003,0.26424048000000006,0.31424048000000004,3182.2761981524463,3784.4315148080254
DC 25GbE,25000.0,25000.0,0.05,224x224 uint8,224,150528,0.1435546875,158054.4,0.050577408,0.10057740800000001,9942.590685971942,19771.673550372532
DC 25GbE,25000.0,25000.0,0.05,384x384 uint8,384,442368,0.421875,464486.4,0.148635648,0.198635648,5034.343080251134,6727.86113866843
DC 25GbE,25000.0,25000.0,0.05,512x512 uint8,512,786432,0.75,825753.6000000001,0.26424115200000003,0.314241152,3182.269392902429,3784.4218905009916
DC 25GbE,25000.0,25000.0,0.05,1024x1024 uint8,1024,3145728,3.0,3303014.4000000004,1.0569646080000001,1.1069646080000002,903.3712485232408,946.1054726252479
DC 25GbE,25000.0,25000.0,0.05,224x224 uint8 (comp 0.1x),224,15052,0.014354705810546875,15804.6,0.005057472,0.055057472,18162.839005757472,197727.24396694632
DC 25GbE,25000.0,25000.0,0.05,384x384 uint8 (comp 0.1x),384,44236,0.042186737060546875,46447.8,0.014863296000000002,0.064863296,15417.039553463334,67279.82810811275
DC 25GbE,25000.0,25000.0,0.05,512x512 uint8 (comp 0.1x),512,78643,0.07499980926513672,82575.15000000001,0.026424048000000002,0.07642404800000001,13084.88657915634,37844.31514808026
DC 25GbE,25000.0,25000.0,0.05,1024x1024 uint8 (comp 0.1x),1024,314572,0.2999992370605469,330300.60000000003,0.10569619200000001,0.155696192,6422.764662092699,9461.078787020066
DC 100GbE,100000.0,100000.0,0.03,224x224 uint8,224,150528,0.1435546875,158054.4,0.012644352,0.042644351999999996,23449.76422669056,79086.69420149013
DC 100GbE,100000.0,100000.0,0.03,384x384 uint8,384,442368,0.421875,464486.4,0.037158912,0.067158912,14890.056586979848,26911.44455467372
DC 100GbE,100000.0,100000.0,0.03,512x512 uint8,512,786432,0.75,825753.6000000001,0.06606028800000001,0.09606028800000001,10410.129105588356,15137.687562003966
DC 100GbE,100000.0,100000.0,0.03,1024x1024 uint8,1024,3145728,3.0,3303014.4000000004,0.26424115200000003,0.294241152,3398.5728821507605,3784.4218905009916
DC 100GbE,100000.0,100000.0,0.03,224x224 uint8 (comp 0.1x),224,15052,0.014354705810546875,15804.6,0.001264368,0.031264368,31985.29392949827,790908.9758677853
DC 100GbE,100000.0,100000.0,0.03,384x384 uint8 (comp 0.1x),384,44236,0.042186737060546875,46447.8,0.0037158240000000004,0.033715824,29659.663664159598,269119.312432451
DC 100GbE,100000.0,100000.0,0.03,512x512 uint8 (comp 0.1x),512,78643,0.07499980926513672,82575.15000000001,0.0066060120000000005,0.036606012,27317.91706783028,151377.26059232105
DC 100GbE,100000.0,100000.0,0.03,1024x1024 uint8 (comp 0.1x),1024,314572,0.2999992370605469,330300.60000000003,0.026424048000000002,0.056424048000000004,17722.939694082208,37844.31514808026
DC 400GbE,400000.0,400000.0,0.02,224x224 uint8,224,150528,0.1435546875,158054.4,0.003161088,0.023161088,43175.864622594585,316346.7768059605
DC 400GbE,400000.0,400000.0,0.02,384x384 uint8,384,442368,0.421875,464486.4,0.009289728,0.029289728,34141.66222369835,107645.77821869488
DC 400GbE,400000.0,400000.0,0.02,512x512 uint8,512,786432,0.75,825753.6000000001,0.016515072000000002,0.036515072,27385.95175164929,60550.750248015866
DC 400GbE,400000.0,400000.0,0.02,1024x1024 uint8,1024,3145728,3.0,3303014.4000000004,0.06606028800000001,0.08606028800000001,11619.76125387821,15137.687562003966
DC 400GbE,400000.0,400000.0,0.02,224x224 uint8 (comp 0.1x),224,15052,0.014354705810546875,15804.6,0.000316092,0.020316092,49222.064952255576,3163635.903471141
DC 400GbE,400000.0,400000.0,0.02,384x384 uint8 (comp 0.1x),384,44236,0.042186737060546875,46447.8,0.0009289560000000001,0.020928956000000002,47780.691975271,1076477.249729804
DC 400GbE,400000.0,400000.0,0.02,512x512 uint8 (comp 0.1x),512,78643,0.07499980926513672,82575.15000000001,0.0016515030000000001,0.021651503,46186.170077892515,605509.0423692842
DC 400GbE,400000.0,400000.0,0.02,1024x1024 uint8 (comp 0.1x),1024,314572,0.2999992370605469,330300.60000000003,0.0066060120000000005,0.026606012000000002,37585.490076453396,151377.26059232105
