model,system,category,network,precision,vision_ms,vlm_ms,action_ms,network_image_ms,network_action_ms,e2e_compute_ms,e2e_total_ms,frequency_hz,freq_async_hz,denoising_steps
pi0,Jetson_AGX_Thor,Edge (Local),N/A (Local),bf16,6.062347412109375,20.303090413411457,26.199926932652797,0.0,0.0,52.56536475817363,52.56536475817363,19.023933432222695,19.023933432222695,10
pi0,A100_80GB,Data Center (Remote),4G LTE,bf16,2.1285967983039953,10.465595076923076,3.604225367321714,44.817728,25.003584,16.198417242548786,86.01972924254879,11.62524003278727,50.450747155385066,10
pi0,A100_80GB,Data Center (Remote),5G NR SA (sub-6GHz),bf16,2.1285967983039953,10.465595076923076,3.604225367321714,14.64478,10.0005376,16.198417242548786,40.843734842548784,24.48355920081663,61.73442658170794,10
pi0,A100_80GB,Data Center (Remote),WiFi 5 (802.11ac),bf16,2.1285967983039953,10.465595076923076,3.604225367321714,5.061664,4.0005376,16.198417242548786,25.260618842548787,39.58731202244372,61.73442658170794,10
pi0,A100_80GB,Data Center (Remote),WiFi 6 (802.11ax),bf16,2.1285967983039953,10.465595076923076,3.604225367321714,4.16354,3.500336,16.198417242548786,23.862293242548787,41.907120570327365,61.73442658170794,10
pi0,A100_80GB,Data Center (Remote),WiFi 6E (802.11ax 6GHz),bf16,2.1285967983039953,10.465595076923076,3.604225367321714,3.353888,3.0001792,16.198417242548786,22.55248444254879,44.34101274063374,61.73442658170794,10
pi0,A100_80GB,Data Center (Remote),WiFi 7 (802.11be),bf16,2.1285967983039953,10.465595076923076,3.604225367321714,2.676944,2.5000896,16.198417242548786,21.375450842548783,46.78263898927716,61.73442658170794,10
pi0,A100_80GB,Data Center (Remote),DC 1GbE,bf16,2.1285967983039953,10.465595076923076,3.604225367321714,0.47158240000000007,0.1002688,16.198417242548786,16.770268442548783,59.62933768328026,61.73442658170794,10
pi0,A100_80GB,Data Center (Remote),DC 10GbE,bf16,2.1285967983039953,10.465595076923076,3.604225367321714,0.08715824,0.05002688,16.198417242548786,16.335602362548787,61.21598566163761,61.73442658170794,10
pi0,A100_80GB,Data Center (Remote),DC 25GbE,bf16,2.1285967983039953,10.465595076923076,3.604225367321714,0.064863296,0.050010752000000006,16.198417242548786,16.313291290548783,61.29970845180438,61.73442658170794,10
pi0,A100_80GB,Data Center (Remote),DC 100GbE,bf16,2.1285967983039953,10.465595076923076,3.604225367321714,0.033715824,0.030002688,16.198417242548786,16.262135754548787,61.49253794786971,61.73442658170794,10
pi0,A100_80GB,Data Center (Remote),DC 400GbE,bf16,2.1285967983039953,10.465595076923076,3.604225367321714,0.020928956000000002,0.020000672,16.198417242548786,16.239346870548783,61.578831216024554,61.73442658170794,10
pi0,H100,Data Center (Remote),4G LTE,bf16,0.7091329690340838,3.301583077856421,2.1419726813122613,44.817728,25.003584,6.152688728202765,75.97400072820277,13.162397536197984,50.450747155385066,10
pi0,H100,Data Center (Remote),5G NR SA (sub-6GHz),bf16,0.7091329690340838,3.301583077856421,2.1419726813122613,14.64478,10.0005376,6.152688728202765,30.798006328202767,32.46963421409088,162.53056902036803,10
pi0,H100,Data Center (Remote),WiFi 5 (802.11ac),bf16,0.7091329690340838,3.301583077856421,2.1419726813122613,5.061664,4.0005376,6.152688728202765,15.214890328202767,65.72508762329825,162.53056902036803,10
pi0,H100,Data Center (Remote),WiFi 6 (802.11ax),bf16,0.7091329690340838,3.301583077856421,2.1419726813122613,4.16354,3.500336,6.152688728202765,13.816564728202767,72.37689104866794,162.53056902036803,10
pi0,H100,Data Center (Remote),WiFi 6E (802.11ax 6GHz),bf16,0.7091329690340838,3.301583077856421,2.1419726813122613,3.353888,3.0001792,6.152688728202765,12.506755928202764,79.95678541587252,162.53056902036803,10
pi0,H100,Data Center (Remote),WiFi 7 (802.11be),bf16,0.7091329690340838,3.301583077856421,2.1419726813122613,2.676944,2.5000896,6.152688728202765,11.329722328202767,88.26341643967103,162.53056902036803,10
pi0,H100,Data Center (Remote),DC 1GbE,bf16,0.7091329690340838,3.301583077856421,2.1419726813122613,0.47158240000000007,0.1002688,6.152688728202765,6.724539928202765,148.70905826672146,162.53056902036803,10
pi0,H100,Data Center (Remote),DC 10GbE,bf16,0.7091329690340838,3.301583077856421,2.1419726813122613,0.08715824,0.05002688,6.152688728202765,6.289873848202765,158.98570052970692,162.53056902036803,10
pi0,H100,Data Center (Remote),DC 25GbE,bf16,0.7091329690340838,3.301583077856421,2.1419726813122613,0.064863296,0.050010752000000006,6.152688728202765,6.267562776202766,159.55165280464172,162.53056902036803,10
pi0,H100,Data Center (Remote),DC 100GbE,bf16,0.7091329690340838,3.301583077856421,2.1419726813122613,0.033715824,0.030002688,6.152688728202765,6.216407240202765,160.8646218563027,162.53056902036803,10
pi0,H100,Data Center (Remote),DC 400GbE,bf16,0.7091329690340838,3.301583077856421,2.1419726813122613,0.020928956000000002,0.020000672,6.152688728202765,6.193618356202765,161.45650934377048,162.53056902036803,10
pi0,B100,Data Center (Remote),4G LTE,bf16,0.400627858141125,1.8658660937142857,0.9138752891335624,44.817728,25.003584,3.180369240988973,73.00168124098897,13.698314655231805,50.450747155385066,10
pi0,B100,Data Center (Remote),5G NR SA (sub-6GHz),bf16,0.400627858141125,1.8658660937142857,0.9138752891335624,14.64478,10.0005376,3.180369240988973,27.825686840988972,35.938016758204064,215.27053392431122,10
pi0,B100,Data Center (Remote),WiFi 5 (802.11ac),bf16,0.400627858141125,1.8658660937142857,0.9138752891335624,5.061664,4.0005376,3.180369240988973,12.242570840988975,81.68219020239856,314.42889935919465,10
pi0,B100,Data Center (Remote),WiFi 6 (802.11ax),bf16,0.400627858141125,1.8658660937142857,0.9138752891335624,4.16354,3.500336,3.180369240988973,10.844245240988972,92.21480866369656,314.42889935919465,10
pi0,B100,Data Center (Remote),WiFi 6E (802.11ax 6GHz),bf16,0.400627858141125,1.8658660937142857,0.9138752891335624,3.353888,3.0001792,3.180369240988973,9.534436440988973,104.88296882456049,314.42889935919465,10
pi0,B100,Data Center (Remote),WiFi 7 (802.11be),bf16,0.400627858141125,1.8658660937142857,0.9138752891335624,2.676944,2.5000896,3.180369240988973,8.357402840988973,119.65439730815525,314.42889935919465,10
pi0,B100,Data Center (Remote),DC 1GbE,bf16,0.400627858141125,1.8658660937142857,0.9138752891335624,0.47158240000000007,0.1002688,3.180369240988973,3.752220440988973,266.50886207965704,314.42889935919465,10
pi0,B100,Data Center (Remote),DC 10GbE,bf16,0.400627858141125,1.8658660937142857,0.9138752891335624,0.08715824,0.05002688,3.180369240988973,3.317554360988973,301.42686183502263,314.42889935919465,10
pi0,B100,Data Center (Remote),DC 25GbE,bf16,0.400627858141125,1.8658660937142857,0.9138752891335624,0.064863296,0.050010752000000006,3.180369240988973,3.295243288988973,303.4677297853823,314.42889935919465,10
pi0,B100,Data Center (Remote),DC 100GbE,bf16,0.400627858141125,1.8658660937142857,0.9138752891335624,0.033715824,0.030002688,3.180369240988973,3.2440877529889733,308.25306716152784,314.42889935919465,10
pi0,B100,Data Center (Remote),DC 400GbE,bf16,0.400627858141125,1.8658660937142857,0.9138752891335624,0.020928956000000002,0.020000672,3.180369240988973,3.221298868988973,310.4337848396715,314.42889935919465,10
