system,model,denoising_steps,action_chunk_size,vision_ms,vlm_ms,action_ms,e2e_ms,frequency_hz,precision,vision_boundness,vlm_boundness,action_boundness,vision_op_intensity,vlm_op_intensity,action_op_intensity
B100,pi0,1,5,0.400627858141125,1.8658660937142857,0.08581545948982239,2.352309411345233,425.1141432232431,bf16,Comp,Comp,Mem,321.37342499720927,542.7692132772324,5.918810855546628
B100,pi0,1,25,0.400627858141125,1.8658660937142857,0.08824136853218079,2.3547353203875914,424.6761796716071,bf16,Comp,Comp,Mem,321.37342499720927,542.7692132772324,28.385113207123524
B100,pi0,1,50,0.400627858141125,1.8658660937142857,0.09138752891335625,2.357881480768767,424.1095271989492,bf16,Comp,Comp,Mem,321.37342499720927,542.7692132772324,53.99005534676914
B100,pi0,1,100,0.400627858141125,1.8658660937142857,0.09942797568865094,2.3659219275440617,422.66821586883344,bf16,Comp,Comp,Mem,321.37342499720927,542.7692132772324,98.22737968288152
B100,pi0,1,250,0.400627858141125,1.8658660937142857,0.12762188148339842,2.394115833338809,417.6907341218367,bf16,Comp,Comp,Comp,321.37342499720927,542.7692132772324,191.7966899159323
B100,pi0,5,5,0.400627858141125,1.8658660937142857,0.42907729744911194,2.6955712493045225,370.9788788769755,bf16,Comp,Comp,Mem,321.37342499720927,542.7692132772324,5.918810855546628
B100,pi0,5,25,0.400627858141125,1.8658660937142857,0.44120684266090393,2.7077007945163145,369.31702425364665,bf16,Comp,Comp,Mem,321.37342499720927,542.7692132772324,28.385113207123524
B100,pi0,5,50,0.400627858141125,1.8658660937142857,0.4569376445667812,2.723431596422192,367.18381372739935,bf16,Comp,Comp,Mem,321.37342499720927,542.7692132772324,53.99005534676914
B100,pi0,5,100,0.400627858141125,1.8658660937142857,0.4971398784432547,2.7636338302986654,361.84243695262995,bf16,Comp,Comp,Mem,321.37342499720927,542.7692132772324,98.22737968288152
B100,pi0,5,250,0.400627858141125,1.8658660937142857,0.6381094074169922,2.9046033592724028,344.28108636853534,bf16,Comp,Comp,Comp,321.37342499720927,542.7692132772324,191.7966899159323
B100,pi0,10,5,0.400627858141125,1.8658660937142857,0.8581545948982239,3.1246485467536345,320.03599286036626,bf16,Comp,Comp,Mem,321.37342499720927,542.7692132772324,5.918810855546628
B100,pi0,10,25,0.400627858141125,1.8658660937142857,0.8824136853218079,3.1489076371772184,317.570445126308,bf16,Comp,Comp,Mem,321.37342499720927,542.7692132772324,28.385113207123524
B100,pi0,10,50,0.400627858141125,1.8658660937142857,0.9138752891335624,3.180369240988973,314.42889935919465,bf16,Comp,Comp,Mem,321.37342499720927,542.7692132772324,53.99005534676914
B100,pi0,10,100,0.400627858141125,1.8658660937142857,0.9942797568865094,3.2607737087419197,306.6756817006546,bf16,Comp,Comp,Mem,321.37342499720927,542.7692132772324,98.22737968288152
B100,pi0,10,250,0.400627858141125,1.8658660937142857,1.2762188148339844,3.542712766689395,282.2695673785835,bf16,Comp,Comp,Comp,321.37342499720927,542.7692132772324,191.7966899159323
B100,pi0,20,5,0.400627858141125,1.8658660937142857,1.7163091897964478,3.9828031416518583,251.07944440991184,bf16,Comp,Comp,Mem,321.37342499720927,542.7692132772324,5.918810855546628
B100,pi0,20,25,0.400627858141125,1.8658660937142857,1.7648273706436157,4.031321322499027,248.05762676841084,bf16,Comp,Comp,Mem,321.37342499720927,542.7692132772324,28.385113207123524
B100,pi0,20,50,0.400627858141125,1.8658660937142857,1.8277505782671248,4.094244530122536,244.24530402195376,bf16,Comp,Comp,Mem,321.37342499720927,542.7692132772324,53.99005534676914
B100,pi0,20,100,0.400627858141125,1.8658660937142857,1.9885595137730188,4.255053465628429,235.0146732768045,bf16,Comp,Comp,Mem,321.37342499720927,542.7692132772324,98.22737968288152
B100,pi0,20,250,0.400627858141125,1.8658660937142857,2.5524376296679687,4.81893158152338,207.51487815975094,bf16,Comp,Comp,Comp,321.37342499720927,542.7692132772324,191.7966899159323
B100,pi0,50,5,0.400627858141125,1.8658660937142857,4.290772974491119,6.55726692634653,152.5025610871637,bf16,Comp,Comp,Mem,321.37342499720927,542.7692132772324,5.918810855546628
B100,pi0,50,25,0.400627858141125,1.8658660937142857,4.412068426609039,6.67856237846445,149.7328232232402,bf16,Comp,Comp,Mem,321.37342499720927,542.7692132772324,28.385113207123524
B100,pi0,50,50,0.400627858141125,1.8658660937142857,4.569376445667812,6.835870397523223,146.28715025994651,bf16,Comp,Comp,Mem,321.37342499720927,542.7692132772324,53.99005534676914
B100,pi0,50,100,0.400627858141125,1.8658660937142857,4.971398784432547,7.237892736287957,138.16176011926675,bf16,Comp,Comp,Mem,321.37342499720927,542.7692132772324,98.22737968288152
B100,pi0,50,250,0.400627858141125,1.8658660937142857,6.381094074169921,8.647588026025332,115.63918135212407,bf16,Comp,Comp,Comp,321.37342499720927,542.7692132772324,191.7966899159323
RTX_4090,pi0,1,5,4.0208364321413965,19.78948887272727,0.6790522805282049,24.48937758539687,40.834030857374856,bf16,Comp,Comp,Mem,321.37342499720927,542.7692132772324,5.918810855546628
RTX_4090,pi0,1,25,4.0208364321413965,19.78948887272727,0.6935737401504765,24.503899045019143,40.80983186238142,bf16,Comp,Comp,Mem,321.37342499720927,542.7692132772324,28.385113207123524
RTX_4090,pi0,1,50,4.0208364321413965,19.78948887272727,0.725444033849939,24.535769338718605,40.756822669585205,bf16,Comp,Comp,Mem,321.37342499720927,542.7692132772324,53.99005534676914
RTX_4090,pi0,1,100,4.0208364321413965,19.78948887272727,0.7926890206219562,24.603014325490623,40.64542607545136,bf16,Comp,Comp,Mem,321.37342499720927,542.7692132772324,98.22737968288152
RTX_4090,pi0,1,250,4.0208364321413965,19.78948887272727,1.3212951272727271,25.131620432141393,39.79051023391542,bf16,Comp,Comp,Comp,321.37342499720927,542.7692132772324,191.7966899159323
RTX_4090,pi0,5,5,4.0208364321413965,19.78948887272727,3.395261402641024,27.20558670750969,36.75715619556792,bf16,Comp,Comp,Mem,321.37342499720927,542.7692132772324,5.918810855546628
RTX_4090,pi0,5,25,4.0208364321413965,19.78948887272727,3.4678687007523825,27.27819400562105,36.65931842093124,bf16,Comp,Comp,Mem,321.37342499720927,542.7692132772324,28.385113207123524
RTX_4090,pi0,5,50,4.0208364321413965,19.78948887272727,3.6272201692496955,27.437545474118362,36.44640884306844,bf16,Comp,Comp,Mem,321.37342499720927,542.7692132772324,53.99005534676914
RTX_4090,pi0,5,100,4.0208364321413965,19.78948887272727,3.9634451031097813,27.773770407978446,36.00519430061733,bf16,Comp,Comp,Mem,321.37342499720927,542.7692132772324,98.22737968288152
RTX_4090,pi0,5,250,4.0208364321413965,19.78948887272727,6.606475636363635,30.416800941232303,32.876567194955186,bf16,Comp,Comp,Comp,321.37342499720927,542.7692132772324,191.7966899159323
RTX_4090,pi0,10,5,4.0208364321413965,19.78948887272727,6.790522805282048,30.600848110150714,32.678832834972525,bf16,Comp,Comp,Mem,321.37342499720927,542.7692132772324,5.918810855546628
RTX_4090,pi0,10,25,4.0208364321413965,19.78948887272727,6.935737401504765,30.74606270637343,32.524489706212286,bf16,Comp,Comp,Mem,321.37342499720927,542.7692132772324,28.385113207123524
RTX_4090,pi0,10,50,4.0208364321413965,19.78948887272727,7.254440338499391,31.064765643368055,32.19081101336065,bf16,Comp,Comp,Mem,321.37342499720927,542.7692132772324,53.99005534676914
RTX_4090,pi0,10,100,4.0208364321413965,19.78948887272727,7.9268902062195625,31.73721551108823,31.508750339191657,bf16,Comp,Comp,Mem,321.37342499720927,542.7692132772324,98.22737968288152
RTX_4090,pi0,10,250,4.0208364321413965,19.78948887272727,13.21295127272727,37.02327657759594,27.010035103298623,bf16,Comp,Comp,Comp,321.37342499720927,542.7692132772324,191.7966899159323
RTX_4090,pi0,20,5,4.0208364321413965,19.78948887272727,13.581045610564097,37.39137091543276,26.744138434016715,bf16,Comp,Comp,Mem,321.37342499720927,542.7692132772324,5.918810855546628
RTX_4090,pi0,20,25,4.0208364321413965,19.78948887272727,13.87147480300953,37.681800107878196,26.538010316309926,bf16,Comp,Comp,Mem,321.37342499720927,542.7692132772324,28.385113207123524
RTX_4090,pi0,20,50,4.0208364321413965,19.78948887272727,14.508880676998782,38.31920598186745,26.096574142825336,bf16,Comp,Comp,Mem,321.37342499720927,542.7692132772324,53.99005534676914
RTX_4090,pi0,20,100,4.0208364321413965,19.78948887272727,15.853780412439125,39.66410571730779,25.21171174580752,bf16,Comp,Comp,Mem,321.37342499720927,542.7692132772324,98.22737968288152
RTX_4090,pi0,20,250,4.0208364321413965,19.78948887272727,26.42590254545454,50.2362278503232,19.90595318938873,bf16,Comp,Comp,Comp,321.37342499720927,542.7692132772324,191.7966899159323
RTX_4090,pi0,50,5,4.0208364321413965,19.78948887272727,33.952614026410245,57.762939331278915,17.31213839837432,bf16,Comp,Comp,Mem,321.37342499720927,542.7692132772324,5.918810855546628
RTX_4090,pi0,50,25,4.0208364321413965,19.78948887272727,34.67868700752382,58.48901231239249,17.09722835904553,bf16,Comp,Comp,Mem,321.37342499720927,542.7692132772324,28.385113207123524
RTX_4090,pi0,50,50,4.0208364321413965,19.78948887272727,36.27220169249695,60.08252699736562,16.643773988465,bf16,Comp,Comp,Mem,321.37342499720927,542.7692132772324,53.99005534676914
RTX_4090,pi0,50,100,4.0208364321413965,19.78948887272727,39.63445103109781,63.44477633596648,15.76173891298133,bf16,Comp,Comp,Mem,321.37342499720927,542.7692132772324,98.22737968288152
RTX_4090,pi0,50,250,4.0208364321413965,19.78948887272727,66.06475636363636,89.87508166850503,11.126554562569376,bf16,Comp,Comp,Comp,321.37342499720927,542.7692132772324,191.7966899159323
Jetson_AGX_Thor,pi0,1,5,6.062347412109375,20.303090413411457,2.5343314309914913,28.89976925651232,34.6023523967984,bf16,Mem,Mem,Mem,321.37342499720927,542.7692132772324,5.918810855546628
Jetson_AGX_Thor,pi0,1,25,6.062347412109375,20.303090413411457,2.5723882019519806,28.937826027472813,34.556846082723226,bf16,Mem,Mem,Mem,321.37342499720927,542.7692132772324,28.385113207123524
Jetson_AGX_Thor,pi0,1,50,6.062347412109375,20.303090413411457,2.6199926932652797,28.98543051878611,34.50009132525658,bf16,Mem,Mem,Mem,321.37342499720927,542.7692132772324,53.99005534676914
Jetson_AGX_Thor,pi0,1,100,6.062347412109375,20.303090413411457,2.7153134346008305,29.080751260121662,34.387007098103986,bf16,Mem,Mem,Mem,321.37342499720927,542.7692132772324,98.22737968288152
Jetson_AGX_Thor,pi0,1,250,6.062347412109375,20.303090413411457,3.020542719238281,29.385980544759114,34.029832643387714,bf16,Mem,Mem,Mem,321.37342499720927,542.7692132772324,191.7966899159323
Jetson_AGX_Thor,pi0,5,5,6.062347412109375,20.303090413411457,12.671657154957456,39.03709498047829,25.616660268907847,bf16,Mem,Mem,Mem,321.37342499720927,542.7692132772324,5.918810855546628
Jetson_AGX_Thor,pi0,5,25,6.062347412109375,20.303090413411457,12.861941009759903,39.22737883528073,25.492399178621884,bf16,Mem,Mem,Mem,321.37342499720927,542.7692132772324,28.385113207123524
Jetson_AGX_Thor,pi0,5,50,6.062347412109375,20.303090413411457,13.099963466326399,39.46540129184723,25.338650242144634,bf16,Mem,Mem,Mem,321.37342499720927,542.7692132772324,53.99005534676914
Jetson_AGX_Thor,pi0,5,100,6.062347412109375,20.303090413411457,13.576567173004152,39.942004998524986,25.036299505669003,bf16,Mem,Mem,Mem,321.37342499720927,542.7692132772324,98.22737968288152
Jetson_AGX_Thor,pi0,5,250,6.062347412109375,20.303090413411457,15.102713596191407,41.468151421712236,24.114892169425516,bf16,Mem,Mem,Mem,321.37342499720927,542.7692132772324,191.7966899159323
Jetson_AGX_Thor,pi0,10,5,6.062347412109375,20.303090413411457,25.343314309914913,51.708752135435745,19.339085912976522,bf16,Mem,Mem,Mem,321.37342499720927,542.7692132772324,5.918810855546628
Jetson_AGX_Thor,pi0,10,25,6.062347412109375,20.303090413411457,25.723882019519806,52.089319845040635,19.1977933859547,bf16,Mem,Mem,Mem,321.37342499720927,542.7692132772324,28.385113207123524
Jetson_AGX_Thor,pi0,10,50,6.062347412109375,20.303090413411457,26.199926932652797,52.56536475817363,19.023933432222695,bf16,Mem,Mem,Mem,321.37342499720927,542.7692132772324,53.99005534676914
Jetson_AGX_Thor,pi0,10,100,6.062347412109375,20.303090413411457,27.153134346008304,53.51857217152914,18.685102375208377,bf16,Mem,Mem,Mem,321.37342499720927,542.7692132772324,98.22737968288152
Jetson_AGX_Thor,pi0,10,250,6.062347412109375,20.303090413411457,30.205427192382814,56.57086501790364,17.676943771029812,bf16,Mem,Mem,Mem,321.37342499720927,542.7692132772324,191.7966899159323
Jetson_AGX_Thor,pi0,20,5,6.062347412109375,20.303090413411457,50.686628619829825,77.05206644535066,12.9782372638799,bf16,Mem,Mem,Mem,321.37342499720927,542.7692132772324,5.918810855546628
Jetson_AGX_Thor,pi0,20,25,6.062347412109375,20.303090413411457,51.44776403903961,77.81320186456044,12.85128970454876,bf16,Mem,Mem,Mem,321.37342499720927,542.7692132772324,28.385113207123524
Jetson_AGX_Thor,pi0,20,50,6.062347412109375,20.303090413411457,52.399853865305595,78.76529169082643,12.695947396795678,bf16,Mem,Mem,Mem,321.37342499720927,542.7692132772324,53.99005534676914
Jetson_AGX_Thor,pi0,20,100,6.062347412109375,20.303090413411457,54.30626869201661,80.67170651753744,12.395919748922223,bf16,Mem,Mem,Mem,321.37342499720927,542.7692132772324,98.22737968288152
Jetson_AGX_Thor,pi0,20,250,6.062347412109375,20.303090413411457,60.41085438476563,86.77629221028646,11.52388485989564,bf16,Mem,Mem,Mem,321.37342499720927,542.7692132772324,191.7966899159323
Jetson_AGX_Thor,pi0,50,5,6.062347412109375,20.303090413411457,126.71657154957457,153.0820093750954,6.532446262510897,bf16,Mem,Mem,Mem,321.37342499720927,542.7692132772324,5.918810855546628
Jetson_AGX_Thor,pi0,50,25,6.062347412109375,20.303090413411457,128.61941009759903,154.98484792311987,6.4522436444629045,bf16,Mem,Mem,Mem,321.37342499720927,542.7692132772324,28.385113207123524
Jetson_AGX_Thor,pi0,50,50,6.062347412109375,20.303090413411457,130.99963466326398,157.36507248878482,6.35465026758888,bf16,Mem,Mem,Mem,321.37342499720927,542.7692132772324,53.99005534676914
Jetson_AGX_Thor,pi0,50,100,6.062347412109375,20.303090413411457,135.76567173004153,162.13110955556238,6.167847754457633,bf16,Mem,Mem,Mem,321.37342499720927,542.7692132772324,98.22737968288152
Jetson_AGX_Thor,pi0,50,250,6.062347412109375,20.303090413411457,151.02713596191407,177.3925737874349,5.637214561181547,bf16,Mem,Mem,Mem,321.37342499720927,542.7692132772324,191.7966899159323
