model,category,server_system,device_system,network,precision,vision_ms,vlm_ms,action_ms,network_image_ms,network_action_ms,network_kv_cache_ms,e2e_total_ms,frequency_hz,freq_async_hz,denoising_steps
pi0,Device Only,N/A,Jetson_AGX_Thor,N/A (Local),bf16,6.062347412109375,20.303090413411457,26.199926932652797,0.0,0.0,0.0,52.56536475817363,19.023933432222695,19.023933432222695,10
pi0,Server Only,B100,N/A,4G LTE,bf16,0.400627858141125,1.8658660937142857,0.9138752891335624,44.817728,25.003584,0.0,73.00168124098897,13.698314655231805,50.450747155385066,10
pi0,Server Only,B100,N/A,5G NR SA (sub-6GHz),bf16,0.400627858141125,1.8658660937142857,0.9138752891335624,14.64478,10.0005376,0.0,27.825686840988972,35.938016758204064,215.27053392431122,10
pi0,Server Only,B100,N/A,WiFi 5 (802.11ac),bf16,0.400627858141125,1.8658660937142857,0.9138752891335624,5.061664,4.0005376,0.0,12.242570840988975,81.68219020239856,314.42889935919465,10
pi0,Server Only,B100,N/A,WiFi 6 (802.11ax),bf16,0.400627858141125,1.8658660937142857,0.9138752891335624,4.16354,3.500336,0.0,10.844245240988972,92.21480866369656,314.42889935919465,10
pi0,Server Only,B100,N/A,WiFi 6E (802.11ax 6GHz),bf16,0.400627858141125,1.8658660937142857,0.9138752891335624,3.353888,3.0001792,0.0,9.534436440988973,104.88296882456049,314.42889935919465,10
pi0,Server Only,B100,N/A,WiFi 7 (802.11be),bf16,0.400627858141125,1.8658660937142857,0.9138752891335624,2.676944,2.5000896,0.0,8.357402840988973,119.65439730815525,314.42889935919465,10
pi0,Server Only,B100,N/A,Ethernet 1GbE,bf16,0.400627858141125,1.8658660937142857,0.9138752891335624,0.47158240000000007,0.1002688,0.0,3.752220440988973,266.50886207965704,314.42889935919465,10
pi0,Server Only,B100,N/A,Ethernet 10GbE,bf16,0.400627858141125,1.8658660937142857,0.9138752891335624,0.08715824,0.05002688,0.0,3.317554360988973,301.42686183502263,314.42889935919465,10
pi0,Server Only,B100,N/A,Ethernet 25GbE,bf16,0.400627858141125,1.8658660937142857,0.9138752891335624,0.064863296,0.050010752000000006,0.0,3.295243288988973,303.4677297853823,314.42889935919465,10
pi0,Server Only,B100,N/A,Ethernet 100GbE,bf16,0.400627858141125,1.8658660937142857,0.9138752891335624,0.033715824,0.030002688,0.0,3.2440877529889733,308.25306716152784,314.42889935919465,10
pi0,Server Only,B100,N/A,Ethernet 400GbE,bf16,0.400627858141125,1.8658660937142857,0.9138752891335624,0.020928956000000002,0.020000672,0.0,3.221298868988973,310.4337848396715,314.42889935919465,10
pi0,Server Only,B100,N/A,"Cloud (Fast: 10Gbps, 10ms)",bf16,0.400627858141125,1.8658660937142857,0.9138752891335624,10.03715824,10.00002688,0.0,23.217554360988974,43.070858560376124,314.42889935919465,10
pi0,Server Only,B100,N/A,"Cloud (Slow: 1Gbps, 100ms)",bf16,0.400627858141125,1.8658660937142857,0.9138752891335624,100.3715824,100.0002688,0.0,203.55222044098895,4.912744247316654,314.42889935919465,10
pi0,Server Only,B100,N/A,Wired + Fast Cloud,bf16,0.400627858141125,1.8658660937142857,0.9138752891335624,10.124316480000001,10.05005376,0.0,23.354739480988975,42.81786148006538,314.42889935919465,10
pi0,Server Only,B100,N/A,4G + Slow Cloud,bf16,0.400627858141125,1.8658660937142857,0.9138752891335624,145.1893104,125.0038528,0.0,273.373532440989,3.657998603854827,50.450747155385066,10
pi0,Device-Server Collaboration,B100,Jetson_AGX_Thor,4G LTE,bf16,0.0,1.8658660937142857,26.199926932652797,44.817728,0.0,1676.5072,1749.390721026367,0.5716275889546849,0.5983276999264622,10
pi0,Device-Server Collaboration,B100,Jetson_AGX_Thor,5G NR SA (sub-6GHz),bf16,0.0,1.8658660937142857,26.199926932652797,14.64478,0.0,257.72608,300.4366530263671,3.3284886844756505,3.9624226029899017,10
pi0,Device-Server Collaboration,B100,Jetson_AGX_Thor,WiFi 5 (802.11ac),bf16,0.0,1.8658660937142857,26.199926932652797,5.061664,0.0,251.72608,284.85353702636706,3.5105760329998517,4.019490606418297,10
pi0,Device-Server Collaboration,B100,Jetson_AGX_Thor,WiFi 6 (802.11ax),bf16,0.0,1.8658660937142857,26.199926932652797,4.16354,0.0,158.3288,190.55813302636707,5.2477424296638775,6.431184970269275,10
pi0,Device-Server Collaboration,B100,Jetson_AGX_Thor,WiFi 6E (802.11ax 6GHz),bf16,0.0,1.8658660937142857,26.199926932652797,3.353888,0.0,85.57536,116.99504102636709,8.547370822107158,12.05847181925489,10
pi0,Device-Server Collaboration,B100,Jetson_AGX_Thor,WiFi 7 (802.11be),bf16,0.0,1.8658660937142857,26.199926932652797,2.676944,0.0,43.78768,74.53041702636709,13.417340730110551,24.11694363850978,10
pi0,Device-Server Collaboration,B100,Jetson_AGX_Thor,Ethernet 1GbE,bf16,0.0,1.8658660937142857,26.199926932652797,0.47158240000000007,0.0,123.96303999999999,152.50041542636708,6.557359186230135,8.049285945268025,10
pi0,Device-Server Collaboration,B100,Jetson_AGX_Thor,Ethernet 10GbE,bf16,0.0,1.8658660937142857,26.199926932652797,0.08715824,0.0,12.436304000000002,40.58925526636708,24.637062036184147,38.16804537548945,10
pi0,Device-Server Collaboration,B100,Jetson_AGX_Thor,Ethernet 25GbE,bf16,0.0,1.8658660937142857,26.199926932652797,0.064863296,0.0,5.0045215999999995,33.135177922367085,30.179406380219696,38.16804537548945,10
pi0,Device-Server Collaboration,B100,Jetson_AGX_Thor,Ethernet 100GbE,bf16,0.0,1.8658660937142857,26.199926932652797,0.033715824,0.0,1.2686304,29.368139250367083,34.0505059402938,38.16804537548945,10
pi0,Device-Server Collaboration,B100,Jetson_AGX_Thor,Ethernet 400GbE,bf16,0.0,1.8658660937142857,26.199926932652797,0.020928956000000002,0.0,0.3296576,28.41637958236708,35.190971358663845,38.16804537548945,10
pi0,Device-Server Collaboration,B100,Jetson_AGX_Thor,"Cloud (Fast: 10Gbps, 10ms)",bf16,0.0,1.8658660937142857,26.199926932652797,10.03715824,0.0,22.386304000000003,60.48925526636708,16.53186166033052,38.16804537548945,10
pi0,Device-Server Collaboration,B100,Jetson_AGX_Thor,"Cloud (Slow: 1Gbps, 100ms)",bf16,0.0,1.8658660937142857,26.199926932652797,100.3715824,0.0,223.86304,352.30041542636707,2.838486576264075,8.049285945268025,10
pi0,Device-Server Collaboration,B100,Jetson_AGX_Thor,Wired + Fast Cloud,bf16,0.0,1.8658660937142857,26.199926932652797,10.124316480000001,0.0,34.822608,73.01271750636708,13.69624408121496,38.16804537548945,10
pi0,Device-Server Collaboration,B100,Jetson_AGX_Thor,4G + Slow Cloud,bf16,0.0,1.8658660937142857,26.199926932652797,145.1893104,0.0,1900.37024,2073.625343426367,0.4822471924208083,0.5983276999264622,10
